Amoni,Canxi,Con/Kg,Cường độ sáng,DO,Date,Kali,Magie,Mực nước,Nhiệt độ,Nitrat,Nitrit,Oxy bão hòa,Phosphate (PO43-),Silica,Size Tôm,TDS,Thế oxy hóa khử,Time,Tỷ trọng,Vụ nuôi,age,ao,area,hoachat_aminox_aqua,hoachat_aqua_c,hoachat_biosol,hoachat_chế_phẩm_vi_sinh__em,hoachat_chế_phẩm_vi_sinh_em,hoachat_doromit,hoachat_genplus,hoachat_kali_belarus,hoachat_kali_canada,hoachat_magie_clorua,hoachat_magnesium_chloride,hoachat_mật_rỉ_đường,hoachat_natri_bicarbonate,hoachat_organic,hoachat_sago_hepasol,hoachat_sodium_bicarbonate,hoachat_toppodine,hoachat_toppond,hoachat_vemevit,hoachat_vi_sinh_hiếu_khí,hoachat_vitapro,hoachat_vôi_nóng,loai_ao,module_name,pH,pond_days,sheet,thucan_beo,thucan_lysine,thucan_protein_tho,thucan_xo_tho,Áp suất thành phần Oxy,Điện trở suất,Điện áp ngoài,Độ cứng,Độ dẫn riêng,Độ dẫn thực,Độ kiềm,Độ màu,Độ mặn,Độ trong,Độ đục,Timestamp
4.9,,,25744,6.565568924,2022-10-01T00:00:00+00:00,,,80,29.86930847,0,0.019,97.06104279,1.75,2.55,,21.10336494,120.7414856,14,1.011030674,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,8.085926056,,A14N18,1.02,0.289,6.63,0.68,148.0890961,28.17993736,17.21899986,4000,32466.71289,35486.23828,166,398,20.61855698,19.8,140.1,2022-10-01T14:00:00+00:00
6.75,,,3256,6.133030891,2022-10-02T00:00:00+00:00,,,110,27.64367104,0,0,87.38339233,2.1,2.9,,21.18150902,112.7663803,8,1.011786461,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.767691612,,A14N18,1.5,0.425,9.75,1,134.0226898,29.2121067,17.21899986,4000,32586.93555,34232.38281,186,365,20.69047928,14,96.8,2022-10-02T08:00:00+00:00
5.75,,,26993,5.870049477,2022-10-02T00:00:00+00:00,,,110,29.62928391,1.9,0.03,86.57376099,1.48,2.65,,21.37418556,113.8750305,14,1.011325479,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.866154194,,A14N18,1.2,0.34,7.8,0.8,132.1667786,27.94007683,17.21899986,4000,32883.35938,35790.88281,178,402,20.91016197,15,107.8,2022-10-02T14:00:00+00:00
9.5,,,6834,6.00861311,2022-10-03T00:00:00+00:00,,,110,27.73107719,0,0,85.77587891,1.32,3.25,,21.25460434,104.4050446,8,1.011819124,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.762196064,,A14N18,1.5,0.425,9.75,1,131.5316772,29.06545067,17.22800064,4000,32699.39063,34405.10938,179,394,20.76998329,15,115.5,2022-10-03T08:00:00+00:00
6.05,,,26993,5.763120174,2022-10-03T00:00:00+00:00,,,110,29.87606621,0,0.034,85.58071136,1.68,3.45,,21.83687973,124.2271576,14,1.011619687,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.79149437,,A14N18,1.2,0.34,7.8,0.8,130.5709839,27.23013687,17.20999908,4000,33595.19922,36724.01563,170,284,21.41235161,16,61.9,2022-10-03T14:00:00+00:00
9.85,,,2389,5.986084938,2022-10-04T00:00:00+00:00,,,110,27.61276817,0,0.01,85.79615021,2.19,3.75,,22.24751282,89.25592041,8,1.012658119,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.786937714,,A14N18,1.5,0.425,9.75,1,131.59729,27.828022,17.21899986,4000,34226.94141,35935,183,343,21.8439827,16,78.9,2022-10-04T08:00:00+00:00
9,,,13925,5.95405817,2022-10-04T00:00:00+00:00,,,110,29.15262222,1.9,0.02,87.44433594,1.58,3.05,,21.99648666,129.1171265,14,1.011979342,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.78935194,,A14N18,1.2,0.34,7.8,0.8,133.6504517,27.3786335,17.21899986,4500,33840.75,36524.83203,172,295,21.58196068,16,89.1,2022-10-04T14:00:00+00:00
11.65,,292.4131796,3969,5.809075356,2022-10-05T00:00:00+00:00,,,80,27.49527168,0.5,0.013,83.33335114,1.77,3.05,,22.72236443,105.4850769,8,1.013079643,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.737821579,,A14N18,1.5,0.425,9.75,1,127.8528824,27.30483818,17.24600029,4500,34957.48438,36623.54688,172,293,22.35939026,17,76.4,2022-10-05T08:00:00+00:00
8.35,,292.4131796,26993,5.761098385,2022-10-05T00:00:00+00:00,,,100,29.99507141,1.6,0.017,86.4916687,1.9,3.25,,23.3340683,138.4583588,14,1.01279676,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.754687309,,A14N18,1.2,0.34,7.8,0.8,131.9216003,25.43008614,17.22800064,4500,35898.56641,39323.5,165,271,23.04466248,16,75.5,2022-10-05T14:00:00+00:00
10.2,,,15222,5.667086601,2022-10-06T00:00:00+00:00,,,80,29.02000046,1.6,0.033,83.71868134,1.62,3.7,,23.33409882,81.33804321,8,1.013108611,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.658639908,,A14N18,1.5,0.425,9.75,1,127.9967117,25.86988831,17.22800064,4500,35898.61328,38654.98047,169,258,23.03897858,20.4,53.4,2022-10-06T08:00:00+00:00
8.4,,,25411,5.802388668,2022-10-06T00:00:00+00:00,,,80,29.11439514,1.2,0.026,85.76854706,1.46,3,,23.17281151,84.62106323,14,1.012947202,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.657671928,,A14N18,1.2,0.34,7.8,0.8,131.1011658,26.00640297,17.22800064,4000,35650.48047,38452.07031,168,316,22.86316872,17.4,89.1,2022-10-06T14:00:00+00:00
10.05,,,15236,5.793035984,2022-10-07T00:00:00+00:00,,,70,27.94421005,1.9,0.012,84.19713593,1.85,1.5,,23.62008858,92.98002625,8,1.013676643,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.628358841,,A14N18,1.8,0.51,11.7,1.2,129.0492401,26.05382919,17.24600029,4500,36338.59766,38382.07422,170,361,23.34387589,20.9,67,2022-10-07T08:00:00+00:00
8.05,,,25411,5.59147644,2022-10-07T00:00:00+00:00,,,80,30.08397484,0,0.003,84.46577454,2.21,4.6,,24.11664581,120.0953674,14,1.013408065,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.644580841,,A14N18,1.5,0.425,9.75,1,128.8028259,24.56680679,17.24600029,4500,37102.53125,40705.33203,163,284,23.90416718,21.1,54.3,2022-10-07T14:00:00+00:00
6.6,,,15236,5.678192139,2022-10-08T00:00:00+00:00,,,90,28.01793289,0,0,82.82684326,1.79,3.6,,24.00782776,107.2136078,8,1.013972044,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.587961197,,A14N18,1.8,0.51,11.7,1.2,126.9278946,25.59891891,17.21899986,4000,36935.11719,39064.14844,155,217,23.76979256,23.1,60.2,2022-10-08T08:00:00+00:00
11.05,,,15211,5.624391079,2022-10-08T00:00:00+00:00,,,80,27.53960037,1.2,0.005,83.38941956,2.21,1.3,,27.92943764,126.8068542,14,1.017379642,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.56195116,,A14N18,1.8,0.51,11.7,1.2,127.9264221,22.19627571,17.22800064,4500,42968.36328,45052.60156,174,327,23.1204834,20.1,91.2,2022-10-08T14:00:00+00:00
14.25,,210.0617005,12411,5.804772377,2022-10-09T00:00:00+00:00,,,80,26.67908287,0,0.008,84.95910645,2.11,3.75,,28.18516159,91.55427551,8,1.017854095,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.687684536,,A14N18,2.4,0.68,15.6,1.6,130.5760956,22.34515953,17.21899986,4500,43361.78516,44752.42188,162,301,25.39517593,22.3,73,2022-10-09T08:00:00+00:00
10.3,,210.0617005,25744,5.931923389,2022-10-09T00:00:00+00:00,,,80,28.61351776,1.6,0.011,87.09186554,2.05,3.15,,23.43458748,84.61084747,14,1.013318181,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.797447205,,A14N18,2.1,0.595,13.65,1.4,133.2815399,25.94603539,17.19199944,5000,36053.21094,38541.53516,157,308,23.14611626,25.1,87.4,2022-10-09T14:00:00+00:00
10.65,,,12511,5.908007145,2022-10-10T00:00:00+00:00,,,80,26.69151688,0.8,0,83.59448242,1.32,3,,22.71866226,86.84005737,8,1.013315439,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.790534973,,A14N18,2.4,0.68,15.6,1.6,128.4753876,27.71540833,17.18300056,4500,34951.78906,36081.01172,152,308,22.34770203,25.6,67,2022-10-10T08:00:00+00:00
10.05,,,20471,5.755964279,2022-10-10T00:00:00+00:00,,,80,28.80411911,1,0.02,84.41440582,1.74,4.1,,22.72498512,87.87241364,14,1.012679935,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.768985271,,A14N18,2.4,0.68,15.6,1.6,129.1263885,26.66540527,17.20999908,4500,34961.51563,37501.77344,149,320,22.37226105,20.7,71.8,2022-10-10T14:00:00+00:00
11,,,6366,5.994965553,2022-10-11T00:00:00+00:00,,,110,27.08545685,0,0.006,83.98287201,1.6,3.25,,19.95506096,93.53723907,8,1.010968328,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.847790241,,A14N18,2.4,0.68,15.6,1.6,128.9641876,31.3254261,17.19199944,5000,30700.0957,31922.94922,160,349,19.36901474,16,84,2022-10-11T08:00:00+00:00
11.45,,,7166,5.521125317,2022-10-11T00:00:00+00:00,,,110,28.91160583,1.9,0.018,81.15721893,1.88,3.3,,22.80935287,101.6959229,14,1.012714863,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.71387291,,A14N18,1.2,0.34,7.8,0.8,124.112442,26.51602554,17.18300056,4500,35091.3125,37713.04297,160,290,22.46495247,16,61.1,2022-10-11T14:00:00+00:00
12.55,,,15841,6.153156757,2022-10-12T00:00:00+00:00,,,80,27.57760811,0.2,0.005,87.8769455,1.8,2.85,,21.75808716,98.57978821,8,1.012272,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.647863293,,A14N18,0,0,0,0,134.7993622,28.47219467,17.19199944,4500,33473.98047,35121.98438,164,255,21.31303978,25.1,61.1,2022-10-12T08:00:00+00:00
13.3,,,18451,5.770283699,2022-10-12T00:00:00+00:00,,,80,28.43697548,0.6,0.009,83.44464111,1.9,2.85,,21.41672325,89.56995392,14,1.011734247,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.872428894,,A14N18,0,0,0,0,127.7522888,28.48047829,17.17399979,4500,32948.80469,35111.76953,163,239,20.94981384,25.1,50,2022-10-12T14:00:00+00:00
13.9,,133.1203252,8693,5.617063522,2022-10-13T00:00:00+00:00,,,110,27.86019135,0,0.017,80.69515991,2.06,3.35,,21.93956757,86.16772461,8,1.012333512,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,8.042787552,,A14N18,2.4,0.68,15.6,1.6,123.7050705,28.09217262,17.20100021,4500,33753.17969,35597.10547,176,230,21.5118103,16,33,2022-10-13T08:00:00+00:00
11.9,,134.4946714,14293,5.248613834,2022-10-13T00:00:00+00:00,,,110,29.8250351,0.7,0.02,78.00184631,2.08,2.85,,22.10969543,118.1015015,14,1.011856675,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.698545456,,A14N18,1.2,0.34,7.8,0.8,119.0229721,26.9181385,17.18300056,4500,34014.91797,37149.67188,171,244,21.70829964,16,48.3,2022-10-13T14:00:00+00:00
9.65,,,12411,5.541137218,2022-10-14T00:00:00+00:00,,,90,28.1456337,0,0.012,80.08911133,1.98,2.25,,22.14519691,104.9264984,8,1.012413144,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.755357265,,A14N18,2.4,0.68,15.6,1.6,122.6969376,27.68818855,17.19199944,3500,34069.53125,36116.48438,159,297,21.73698807,22.3,71.3,2022-10-14T08:00:00+00:00
13.8,,,20144,5.379449844,2022-10-14T00:00:00+00:00,,,80,29.0260601,0.3,0.028,78.84235382,3.66,2.5,,22.00410461,111.7214203,14,1.012025356,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.732223511,,A14N18,1.2,0.34,7.8,0.8,120.5395966,27.43059158,17.18300056,4500,33852.46875,36455.64844,188,333,21.58951378,25.1,80.6,2022-10-14T14:00:00+00:00
10.2,,,8693,5.946390152,2022-10-15T00:00:00+00:00,,,110,26.47262764,0.3,0.037,83.38053131,2.66,3.35,,21.85633087,94.94390869,8,1.012678504,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,8.059837341,,A14N18,2.2,0.66,15.6,1.6,128.205307,28.92605782,17.19199944,4000,33625.125,34570.90625,198,273,21.40957832,15,61.1,2022-10-15T08:00:00+00:00
14.6,,,18293,,2022-10-15T00:00:00+00:00,,,,,0.1,0.039,,3.4,3.45,,,,14,,,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,,,A14N18,1,0.32,7.8,0.8,,,,4500,,,211,332,,14,77.2,2022-10-15T14:00:00+00:00
,,,18293,5.269753456,2022-10-15T00:00:00+00:00,,,110,29.1799736,,,78.28673553,,,,22.73188591,138.1811218,17,1.012567163,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.721484184,,A14N18,0.5,0.16,3.9,0.4,118.8605652,26.480093,17.45299911,,34972.13281,37764.21875,,332,22.3821373,14,77.2,2022-10-15T17:00:00+00:00
10.8,,,12588,5.977570057,2022-10-17T00:00:00+00:00,,,80,27.81696129,0,0.047,86.52030182,2.25,2.6,,23.29409027,107.7279129,8,1.013448715,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.982909679,,A14N18,1,0.32,7.8,0.8,132.6478119,26.47937775,17.18300056,4000,35837.0625,37765.23828,198,289,22.98602295,32.5,62.8,2022-10-17T08:00:00+00:00
12.4,,,28599,5.658355236,2022-10-17T00:00:00+00:00,,,80,29.81116486,2.3,0.057,84.65748596,2.29,2.85,,23.26567841,113.4571075,14,1.012800455,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.889775753,,A14N18,1,0.32,7.8,0.8,129.1832733,25.58688927,17.21899986,4500,35793.35156,39082.51563,202,311,22.96883392,25.7,63.6,2022-10-17T14:00:00+00:00
13.3,,,10589,5.798797131,2022-10-18T00:00:00+00:00,,,110,27.9106102,0.1,0.073,83.81925964,2,4.75,,22.81167984,110.5102539,8,1.013026476,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.828726292,,A14N18,2.12,0.652,15.6,1.6,128.4797668,26.99353027,17.21899986,5000,35094.89453,37045.91406,198,393,22.46021271,16,112.1,2022-10-18T08:00:00+00:00
13.1,,,14253,5.723896503,2022-10-18T00:00:00+00:00,,,110,29.74167442,2.9,0.073,85.04399109,2.07,2.95,,22.29846764,124.2789307,14,1.012036324,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.819681644,,A14N18,1.59,0.489,11.7,1.2,129.7953949,26.72922707,17.20100021,4500,34305.33594,37412.23047,204,401,21.9131279,16,128.2,2022-10-18T14:00:00+00:00
11,,,10411,5.943479061,2022-10-19T00:00:00+00:00,,,90,27.43959045,2.3,0.11,84.41357422,1.99,1.85,,21.23033714,120.4690018,14,1.011887193,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.824148178,,A14N18,2,0.64,15.6,1.6,129.5260162,29.25346565,17.20100021,4500,32662.05664,34183.98438,183,369,20.74163055,18.5,91.7,2022-10-19T14:00:00+00:00
11.8,,101.5656027,9395,6.193926334,2022-10-20T00:00:00+00:00,,,110,26.60988045,0.5,0.129,86.79429626,1.99,2,,21.35838318,130.3299866,8,1.012235761,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.86672163,,A14N18,2,0.64,15.6,1.6,133.4160461,29.52515411,17.20100021,4500,32859.05078,33869.42578,184,287,20.87277794,16,69.6,2022-10-20T08:00:00+00:00
12.7,,101.5656027,7108,5.715866089,2022-10-20T00:00:00+00:00,,,110,27.48238564,0.6,0.144,81.36129761,2.1,2.45,,21.47742844,140.3125763,14,1.012073755,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.808344364,,A14N18,2,0.64,15.6,1.6,124.8308029,28.89434624,17.19199944,4500,33042.19922,34608.84766,183,303,21.00873947,16,56.8,2022-10-20T14:00:00+00:00
12.7,,,15222,5.957812786,2022-10-21T00:00:00+00:00,,,80,26.95412064,3,0.193,84.01934814,2.01,1.95,,21.43242264,125.2111511,8,1.012194514,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.925153255,,A14N18,2,0.64,15.6,1.6,129.0565186,29.23666382,17.19199944,4000,32972.95703,34203.62891,182,204,20.95577621,22.2,46.6,2022-10-21T08:00:00+00:00
8.8,,,28599,6.014223576,2022-10-21T00:00:00+00:00,,,80,29.37841988,3.1,0.179,88.68718719,2.03,1.85,,22.04667473,117.6365891,14,1.011948347,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.993691921,,A14N18,2,0.64,15.6,1.6,135.4762115,27.20759392,17.18300056,4500,33917.96094,36754.44531,179,190,21.63765335,20.1,20.2,2022-10-21T14:00:00+00:00
7.8,,,9393,5.774789333,2022-10-22T00:00:00+00:00,,,110,28.00932312,2,0.108,83.47147369,2.5,2.45,,22.53583336,115.2786255,8,1.012771964,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.76126194,,A14N18,2,0.64,15.6,1.6,127.918251,27.2752285,17.21899986,5000,34670.51172,36663.30469,180,301,22.16057014,16,55.4,2022-10-22T08:00:00+00:00
8.5,,,14293,5.759912968,2022-10-22T00:00:00+00:00,,,100,29.46396065,2.8,0.172,85.3647995,2.43,2.27,,22.64653587,117.2074356,14,1.01240766,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.87072134,,A14N18,2,0.64,15.6,1.6,130.3739014,26.44704247,17.20100021,4500,34840.82422,37811.41016,182,228,22.29071236,16,57,2022-10-22T14:00:00+00:00
7.4,,88.44316107,15236,5.846891403,2022-10-23T00:00:00+00:00,,,80,28.03062439,1.7,0.14,84.70237732,2.5,2.45,,22.84389687,109.2490234,8,1.013016105,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.807996273,,A14N18,2,0.64,15.6,1.6,129.7983246,26.89705467,17.19199944,4500,35144.45703,37178.79297,179,284,22.49630165,22.6,44.5,2022-10-23T08:00:00+00:00
7.6,,88.44316107,25441,5.662438869,2022-10-23T00:00:00+00:00,,,80,29.37603569,1.14,0.15,83.91337585,1.87,2.55,,22.87504578,102.9976883,14,1.012621403,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.80146265,,A14N18,1,0.32,7.8,0.8,128.1846008,26.22342873,17.18300056,4500,35192.37891,38133.83984,182,258,22.53946686,26.9,37.1,2022-10-23T14:00:00+00:00
