farm,module_name,Date,Độ mặn,Độ kiềm,pH,Nhiệt độ,TDS,Tuổi tôm,Ngày thả,Season,Loại ao,Giống tôm,Công nghệ nuôi,Mực nước,Vụ nuôi,Time,Độ trong,ao,Độ cứng,Độ màu,area
MPLA,Pond A1N09,2022-05-09,30.2596035,132.0,7.855157375,29.14061356,29.80455971,20,11,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-10,30.31529427,137.0,7.777538776,29.5851841,29.84915543,21,12,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-14,31.13150024,147.0,7.600725651,29.94255638,30.54687119,25,16,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-17,30.82015038,143.0,7.74937439,29.85470581,30.28988838,28,19,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-18,30.53617668,140.0,7.782582283,29.30585098,30.04598999,29,20,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-19,30.09156816,140.0,7.593514654,28.56012554,29.6811085,30,21,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-19,30.09054565,137.0,7.591008186,28.55494308,29.66207504,30,21,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-20,30.40378761,143.0,7.9,29.61423492,29.92666054,31,22,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-23,29.32126617,150.0,7.9,28.29239464,28.98609734,34,25,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-24,29.43994522,178.0,7.9,28.74272346,29.08608627,35,26,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-25,29.61595154,170.0,7.652427673,29.37192535,29.23522568,36,27,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-26,29.18941689,169.0,7.436091423,29.84213448,28.85437775,37,28,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-26,29.16736185,170.0,7.454545492,29.19115316,28.87464962,37,28,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-26,29.64318181,169.0,7.641875914,29.02214861,28.91157261,37,28,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-27,29.00868416,169.0,7.34586668,28.93717384,28.70269012,38,29,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-27,29.03151845,168.0,7.355421961,28.96575495,28.76485184,38,29,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-28,25.75464544,169.0,7.789754545,29.57549455,26.21975519,39,30,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-28,25.88454664,170.0,7.784549764,29.15486494,25.89454646,39,30,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-28,25.88451947,169.0,7.691546345,27.88121644,25.78451946,39,30,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-28,25.8289566,169.0,7.770895958,27.82932091,25.87434769,39,30,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-29,25.94514465,167.0,7.601307869,28.32873726,25.97425652,40,31,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-29,25.99454646,166.0,7.819464941,29.48464945,25.99124646,40,31,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-29,25.99154946,166.0,7.618151854,29.48466194,25.96121946,40,31,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-29,25.91184646,166.0,7.671545496,28.61216643,25.81646615,40,31,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-30,26.12795448,184.0,7.567899227,28.79545975,26.13462257,41,32,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-30,26.81216676,183.0,7.615425196,29.18464693,26.2196452,41,32,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-30,26.21646919,184.0,7.419161652,28.91246466,26.22164662,41,32,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-30,26.32194682,184.0,7.541976618,28.91676488,26.3318755,41,32,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-02,24.3494885,182.0,7.659481515,29.77815455,25.61187645,44,35,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-02,23.90293258,180.0,7.602563255,29.59366355,24.50563555,44,35,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-03,23.28835487,154.0,7.499491692,29.01303864,23.5618515,45,36,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-04,23.46724129,175.0,7.486074448,29.77797127,23.72060776,46,37,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-05,23.49258632,176.0,7.551806935,29.80145522,23.77028426,47,38,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-05,23.48059358,177.0,7.520006395,29.89396556,23.75019636,47,38,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-06,23.56385582,170.0,7.530859665,29.76069358,23.77205935,48,39,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-08,23.19514847,176.0,7.539565086,29.88573456,23.47196198,50,41,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-10,21.96803665,171.0,7.514215946,29.14694786,22.35183907,52,43,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-11,22.05407906,143.0,7.571057796,29.14503098,22.43092918,53,44,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-06-14,22.00994682,161.0,7.593569756,29.8110466,22.38713646,56,47,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-07-19,27.72751808,160.0,7.919775486,29.29982376,27.56161308,91,82,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-07-20,25.01076317,160.0,7.773142815,29.15794373,25.12504005,92,83,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-07-21,26.11588097,168.0,7.783557415,27.96991539,26.13119698,93,84,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-07-23,28.11721992,162.0,7.789162814,28.3679409,27.91726494,95,86,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-07-26,27.93323517,138.0,7.707854748,29.29005241,27.74486923,98,89,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-07-27,27.34679985,178.0,7.472862244,29.81142235,27.21817398,99,90,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-07-31,25.76360779,153.0,7.491042484,29.56915092,28.65695572,103,94,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-01,25.46098366,174.0,7.526807308,28.62665558,30.51395226,104,95,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-01,25.65596046,177.0,7.317158222,29.87408257,31.1083374,104,95,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-02,31.3001442,178.0,7.550727844,29.65350914,30.71221352,105,96,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-03,31.24847794,175.0,8.0,29.28190231,30.67082214,106,97,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-04,31.34034157,164.0,7.504403114,29.91751671,30.7448101,107,98,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-05,31.37025642,164.0,7.726348877,28.70137596,30.78395653,108,99,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-05,31.40012932,173.0,7.74071312,29.48450279,30.80137825,108,99,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-05,31.41997337,171.0,7.788386345,29.89764214,30.81462669,108,99,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-06,30.51801682,160.0,7.678428135,29.39207458,33.0291729,109,100,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-06,30.36940384,176.0,7.696816921,28.4323616,29.90895653,109,100,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-06,30.23776054,177.0,7.650890083,27.83400154,29.80049706,109,100,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-06,30.4752121,173.0,7.594046021,29.85875511,31.98715401,109,100,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-07,30.50822258,170.0,7.651486397,27.57452774,30.04203033,110,101,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-07,29.92768097,174.0,7.634769917,28.37412834,29.52063179,110,101,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-07,29.21839523,172.0,7.685649872,28.66401482,28.89105606,110,101,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-08,30.2716198,174.0,7.587295532,28.10042191,29.82692909,111,102,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-08,30.24876404,174.0,8.0,26.86353302,30.82387352,111,102,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-09,27.4606514,171.0,7.9,26.34451485,27.3563385,112,103,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-09,27.44035149,165.0,7.522356033,27.40616226,27.32443619,112,103,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-09,27.85042191,177.0,7.63836813,27.68191719,27.68717766,112,103,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-10,28.11534691,146.0,7.58003664,29.65848923,27.9038105,113,104,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-10,27.84930229,183.0,7.9,27.25722122,27.69126892,113,104,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-10,27.9518261,183.0,7.789143562,29.05361748,27.76347542,113,104,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-10,27.85200058,123.0,7.532932968,29.23030853,28.79767036,113,104,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-11,27.45459747,159.0,7.664869308,27.75788116,27.3331337,114,105,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-11,27.83748245,173.0,7.859835625,27.28943062,27.68033028,114,105,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-12,26.94761086,183.0,8.0,26.52287292,26.89455795,115,106,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-12,26.97802162,184.0,7.66845417,28.09448433,26.90344238,115,106,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-14,27.15616608,179.0,7.573028564,29.18523407,27.05278587,117,108,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-15,27.5152607,145.0,7.605994701,29.54310989,27.37046242,118,109,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-15,27.60954285,177.0,7.653282166,28.87190247,27.46018791,118,109,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-15,27.80773735,172.0,7.898751979,29.91280174,27.62823486,118,109,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-16,23.25214958,161.0,7.769020557,29.9328537,23.52374077,119,110,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-16,26.6849823,159.0,7.64,28.93699265,26.63325691,119,110,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-16,26.92272186,172.0,7.9,28.08684158,26.85401726,119,110,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-18,25.23594856,185.0,8.0,28.95171356,25.3299427,121,112,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-19,23.75634384,156.0,7.622619629,29.67590904,23.98437309,122,113,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-19,23.42717934,155.0,8.0,28.73294258,23.6903038,122,113,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-20,23.77275085,153.0,7.578620911,29.5427742,24.00003815,123,114,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-20,23.78640747,167.0,7.436150074,29.64748001,24.01187325,123,114,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-20,23.77949715,163.0,7.9,28.90253448,24.01012993,123,114,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-21,23.79185295,156.0,7.496227741,28.38606834,24.02503395,124,115,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-21,23.88603401,107.0,7.428181648,29.81045723,24.10158157,124,115,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-21,23.7429924,167.0,7.446213722,29.05317688,23.97592163,124,115,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-22,23.80710602,149.0,7.304244041,28.78947639,24.03602219,125,116,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-22,23.8124733,162.0,7.414422035,29.60015869,24.03585052,125,116,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-23,23.78188324,135.0,7.408913612,29.19864464,24.01039314,126,117,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-23,20.27900696,151.0,7.395917892,29.86749649,20.78852272,126,117,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-24,23.9292717,133.0,7.355318069,29.64393616,24.14179039,127,118,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-24,23.89134026,134.0,7.346991062,28.94061661,24.11162567,127,118,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-25,23.76237869,119.0,7.406856537,28.76426506,23.99548721,128,119,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-25,23.80693054,119.0,7.450648308,29.28665924,24.03264046,128,119,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-26,23.9608326,108.0,7.3539114,29.24376297,24.17285347,129,120,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-27,23.80313492,96.0,7.325882435,27.62719154,24.04149055,130,121,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-27,23.96094513,99.0,7.392119408,29.64605522,24.17056465,130,121,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-28,23.22653961,104.0,7.331564903,28.80161858,23.50678253,131,122,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-28,23.35027313,113.0,7.379677296,29.95469284,23.61311531,131,122,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-29,23.51596069,131.0,7.40199852,28.97058296,23.76967621,132,123,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-08-29,23.53787994,131.0,7.38775444,29.66418076,23.78556442,132,123,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-09-01,23.71029091,139.0,7.9,29.54897499,23.94317055,135,126,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-09-03,20.80385971,167.0,7.9,29.43953514,21.27663994,137,128,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-09-04,21.05752754,182.0,7.9,29.23202324,21.51217079,138,129,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-09-05,18.63401413,170.0,7.574153423,27.5983429,19.2632885,139,130,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-09-05,18.21094894,156.0,7.566058636,29.23429871,18.85847664,139,130,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-09-05,18.50678253,169.0,7.601708889,28.7734642,19.13819122,139,130,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
