,Date,Season,Vụ nuôi,module_name,ao,Loại ao,Giai đoạn,Công nghệ nuôi,area,Giống tôm,Ngày thả,Tuổi tôm,Time,Mực nước,Nhiệt độ,pH,Độ mặn,TDS,Độ đục,DO,Độ màu,Độ trong,Độ kiềm,Độ cứng,Nitrat,Amoni,Nitrit,Oxy bão hòa,Phosphate (PO43-),Silica,Column1,Size Tôm,Con/Kg,Cường độ sáng,Canxi,Kali,Magie,Thế oxy hóa khử,Tỷ trọng,hoachat_aminox_aqua,hoachat_aqua_c,hoachat_biosol,hoachat_chế_phẩm_vi_sinh__em,hoachat_chế_phẩm_vi_sinh_em,hoachat_doromit,hoachat_genplus,hoachat_kali_belarus,hoachat_kali_canada,hoachat_magie_clorua,hoachat_magnesium_chloride,hoachat_mật_rỉ_đường,hoachat_natri_bicarbonate,hoachat_organic,hoachat_sago_hepasol,hoachat_sodium_bicarbonate,hoachat_toppodine,hoachat_toppond,hoachat_vemevit,hoachat_vi_sinh_hiếu_khí,hoachat_vitapro,hoachat_vôi_nóng,loai_ao,sheet,thucan_beo,thucan_lysine,thucan_protein_tho,thucan_xo_tho,Áp suất thành phần Oxy,Điện trở suất,Điện áp ngoài,Độ dẫn riêng,Độ dẫn thực,Time.1
19,10/6/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,26.0,38.0,8.0,80.0,29.02000046,7.658639908,23.03897858,23.33409882,53.4,5.667086601,258.0,20.4,169.0,4500.0,1.6,10.2,0.033,83.71868134,1.62,3.7,,,,15222.0,,,,81.33804321,1.013108611,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.5,0.425,9.75,1.0,127.9967117,25.86988831,17.22800064,35898.61328,38654.98047,10/6/2022 15:00
20,10/6/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,26.0,38.0,14.0,80.0,29.11439514,7.657671928,22.86316872,23.17281151,89.1,5.802388668,316.0,17.4,168.0,4000.0,1.2,8.4,0.026,85.76854706,1.46,3.0,,,,25411.0,,,,84.62106323,1.012947202,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.2,0.34,7.8,0.8,131.1011658,26.00640297,17.22800064,35650.48047,38452.07031,10/6/2022 21:00
21,10/7/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,27.0,39.0,8.0,70.0,27.94421005,7.628358841,23.34387589,23.62008858,67.0,5.793035984,361.0,20.9,170.0,4500.0,1.9,10.05,0.012,84.19713593,1.85,1.5,,,,15236.0,,,,92.98002625,1.013676643,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.8,0.51,11.7,1.2,129.0492401,26.05382919,17.24600029,36338.59766,38382.07422,10/7/2022 15:00
22,10/7/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,27.0,39.0,14.0,80.0,30.08397484,7.644580841,23.90416718,24.11664581,54.3,5.59147644,284.0,21.1,163.0,4500.0,0.0,8.05,0.003,84.46577454,2.21,4.6,,,,25411.0,,,,120.0953674,1.013408065,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.5,0.425,9.75,1.0,128.8028259,24.56680679,17.24600029,37102.53125,40705.33203,10/7/2022 21:00
23,10/8/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,28.0,40.0,8.0,90.0,28.01793289,7.587961197,23.76979256,24.00782776,60.2,5.678192139,217.0,23.1,155.0,4000.0,0.0,6.6,0.0,82.82684326,1.79,3.6,,,,15236.0,,,,107.2136078,1.013972044,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.8,0.51,11.7,1.2,126.9278946,25.59891891,17.21899986,36935.11719,39064.14844,10/8/2022 15:00
25,10/9/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,29.0,41.0,8.0,80.0,26.67908287,7.687684536,25.39517593,28.18516159,73.0,5.804772377,301.0,22.3,162.0,4500.0,0.0,14.25,0.008,84.95910645,2.11,3.75,,,210.0617005,12411.0,,,,91.55427551,1.017854095,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,2.4,0.68,15.6,1.6,130.5760956,22.34515953,17.21899986,43361.78516,44752.42188,10/9/2022 15:00
26,10/9/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,29.0,41.0,14.0,80.0,28.61351776,7.797447205,23.14611626,23.43458748,87.4,5.931923389,308.0,25.1,157.0,5000.0,1.6,10.3,0.011,87.09186554,2.05,3.15,,,210.0617005,25744.0,,,,84.61084747,1.013318181,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,2.1,0.595,13.65,1.4,133.2815399,25.94603539,17.19199944,36053.21094,38541.53516,10/9/2022 21:00
27,10/10/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,30.0,42.0,8.0,80.0,26.69151688,7.790534973,22.34770203,22.71866226,67.0,5.908007145,308.0,25.6,152.0,4500.0,0.8,10.65,0.0,83.59448242,1.32,3.0,,,,12511.0,,,,86.84005737,1.013315439,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,2.4,0.68,15.6,1.6,128.4753876,27.71540833,17.18300056,34951.78906,36081.01172,10/10/2022 15:00
28,10/10/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,30.0,42.0,14.0,80.0,28.80411911,7.768985271,22.37226105,22.72498512,71.8,5.755964279,320.0,20.7,149.0,4500.0,1.0,10.05,0.02,84.41440582,1.74,4.1,,,,20471.0,,,,87.87241364,1.012679935,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,2.4,0.68,15.6,1.6,129.1263885,26.66540527,17.20999908,34961.51563,37501.77344,10/10/2022 21:00
29,10/11/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,31.0,43.0,8.0,110.0,27.08545685,7.847790241,19.36901474,19.95506096,84.0,5.994965553,349.0,16.0,160.0,5000.0,0.0,11.0,0.006,83.98287201,1.6,3.25,,,,6366.0,,,,93.53723907,1.010968328,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,2.4,0.68,15.6,1.6,128.9641876,31.3254261,17.19199944,30700.0957,31922.94922,10/11/2022 15:00
30,10/11/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,31.0,43.0,14.0,110.0,28.91160583,7.71387291,22.46495247,22.80935287,61.1,5.521125317,290.0,16.0,160.0,4500.0,1.9,11.45,0.018,81.15721893,1.88,3.3,,,,7166.0,,,,101.6959229,1.012714863,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.2,0.34,7.8,0.8,124.112442,26.51602554,17.18300056,35091.3125,37713.04297,10/11/2022 21:00
31,10/12/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,32.0,44.0,8.0,80.0,27.57760811,7.647863293,21.31303978,21.75808716,61.1,6.153156757,255.0,25.1,164.0,4500.0,0.2,12.55,0.005,87.8769455,1.8,2.85,,,,15841.0,,,,98.57978821,1.012272,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.0,0.0,0.0,0.0,134.7993622,28.47219467,17.19199944,33473.98047,35121.98438,10/12/2022 15:00
32,10/12/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,32.0,44.0,14.0,80.0,28.43697548,7.872428894,20.94981384,21.41672325,50.0,5.770283699,239.0,25.1,163.0,4500.0,0.6,13.3,0.009,83.44464111,1.9,2.85,,,,18451.0,,,,89.56995392,1.011734247,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.0,0.0,0.0,0.0,127.7522888,28.48047829,17.17399979,32948.80469,35111.76953,10/12/2022 21:00
35,10/14/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,34.0,46.0,8.0,90.0,28.1456337,7.755357265,21.73698807,22.14519691,71.3,5.541137218,297.0,22.3,159.0,3500.0,0.0,9.65,0.012,80.08911133,1.98,2.25,,,,12411.0,,,,104.9264984,1.012413144,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,2.4,0.68,15.6,1.6,122.6969376,27.68818855,17.19199944,34069.53125,36116.48438,10/14/2022 15:00
63,10/29/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,49.0,61.0,8.0,80.0,28.11714935,7.87660408,23.97031975,24.1895237,61.2,5.998636723,330.0,22.9,170.0,4500.0,1.0,6.5,0.08,87.74475861,7.8,4.2,,,,10821.0,,,,105.4510193,1.014090776,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,2.0,0.64,15.6,1.6,134.4341278,25.36119461,17.22800064,37214.65234,39430.32031,10/29/2022 15:00
85,9/27/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,16.0,28.0,8.0,80.0,26.6414814,7.87443161,22.29066849,22.66672516,74.7,6.632129669,222.0,20.1,148.0,5000.0,0.1,0.4,0.013,93.72979736,0.35,3.6,,,,,,,,118.3549118,1.013287783,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,1.235,0.3705,7.79,0.665,144.0674133,27.80465698,17.21899986,34871.88672,35965.19922,9/27/2022 15:00
86,9/28/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,17.0,29.0,8.0,60.0,26.70396805,7.950938225,21.08790779,21.55682373,69.6,6.612314701,239.0,19.0,147.0,4000.0,0.0,0.89,0.0,92.9193573,0.85,2.75,,,,7115.0,,,,120.7700958,1.01236856,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,1.02,0.306,6.8,0.68,142.8029633,29.2024498,17.21899986,33164.34375,34243.70313,9/28/2022 15:00
87,9/28/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,17.0,29.0,14.0,60.0,27.89231491,8.168577194,21.20609665,21.65708351,84.9,6.654967308,274.0,18.0,146.0,5000.0,0.6,1.04,0.011,95.49460602,0.52,3.5,,,,7938.0,,,,121.9979477,1.012095213,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.0,0.0,0.0,0.0,146.3819733,28.4420433,17.22800064,33318.58984,35159.21875,9/28/2022 21:00
88,9/29/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,18.0,30.0,8.0,80.0,26.04128838,7.998826981,21.70259666,22.1310463,50.9,6.582501411,231.0,32.1,146.0,4000.0,0.7,1.27,0.0,91.76717377,1.15,3.75,,,,12551.0,,,,106.4768982,1.013025999,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.27,0.081,1.8,0.18,141.2257843,28.7977581,17.23699951,34047.76172,34724.92578,9/29/2022 15:00
91,9/30/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,19.0,31.0,14.0,60.0,28.27579308,7.957799911,21.78503418,22.188591,84.9,6.195511341,281.0,18.0,146.0,4500.0,0.3,2.35,0.006,89.76733398,0.35,2.65,,,,7913.0,,,,134.9917603,1.012408257,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.24,0.072,1.6,0.16,137.4831696,27.56938553,17.22800064,34136.29297,36272.11719,9/30/2022 21:00
92,10/1/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,20.0,32.0,8.0,70.0,27.51558304,7.8,18.9394989,19.55031013,62.9,6.768728256,270.0,20.7,146.0,4000.0,0.1,2.99,0.001,95.29385376,2.3,2.75,,,,12471.0,,,,120.3528595,1.010517597,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.07,0,0,0,0.0,0.02,0,0.09,0,0.0,,A15N12,0.36,0.108,2.4,0.24,146.1965637,31.72332573,17.22800064,30077.39844,31522.54688,10/1/2022 15:00
93,10/1/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,20.0,32.0,14.0,70.0,30.1451931,8.1,21.33815193,21.76742744,118.0,6.822982788,332.0,19.1,150.0,4000.0,0.7,3.92,0.005,101.7281036,1.36,3.5,,,,25748.0,,,,121.3065338,1.011476636,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.3,0.09,2.0,0.2,155.1023865,27.18916512,17.20100021,33488.34766,36779.35547,10/1/2022 21:00
94,10/2/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,21.0,33.0,8.0,60.0,27.98423576,7.884253502,22.18045616,22.55429077,84.0,6.269755363,300.0,17.0,146.0,4500.0,0.0,2.92,0.003,90.59777832,1.69,3.75,,,,4029.0,,,,124.0364227,1.012794614,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.42,0.126,2.8,0.28,138.8470154,27.26526451,17.22800064,34698.90625,36676.70313,10/2/2022 15:00
96,10/3/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,22.0,34.0,8.0,60.0,27.95305061,7.786787987,22.00847435,22.39640427,49.1,6.086031437,238.0,18.0,148.0,4500.0,0.0,3.8,0.003,87.81259155,1.46,3.85,,,,7256.0,,,,119.7401276,1.012675762,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.54,0.162,3.6,0.36,134.5879669,27.47295189,17.23699951,34456.00391,36399.4375,10/3/2022 15:00
97,10/3/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,22.0,34.0,14.0,60.0,30.32677078,7.820066452,22.44359398,22.78284264,40.6,5.791861534,204.0,18.0,150.0,4500.0,1.4,3.44,0.03,87.13954163,1.72,4.2,,,,26993.0,,,,116.0327148,1.012239933,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.48,0.144,3.2,0.32,132.7983398,25.89558983,17.24600029,35050.52734,38616.61328,10/3/2022 21:00
98,10/4/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,23.0,35.0,8.0,60.0,28.01113129,7.804080009,22.4315567,22.78464508,74.7,5.989758968,244.0,18.0,150.0,4500.0,0.0,5.3,0.012,86.71235657,2.3,4.25,,,,2009.0,,,,114.8430023,1.012973905,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.69,0.207,4.6,0.46,132.8842621,26.97649384,17.21899986,35053.30078,37069.30859,10/4/2022 15:00
99,10/4/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,23.0,35.0,14.0,60.0,29.34480858,7.818726063,22.52659607,22.86342049,46.6,5.900260925,193.0,17.0,152.0,5000.0,1.5,5.16,0.021,87.38629913,1.11,3.35,,,,11829.0,,,,131.045929,1.012621999,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.69,0.207,4.6,0.46,133.4998932,26.25121307,17.20999908,35174.49219,38093.47656,10/4/2022 21:00
100,10/5/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,24.0,36.0,8.0,100.0,27.55524826,7.805121899,23.25638962,23.54340744,48.3,6.171216011,198.0,19.0,147.0,4000.0,1.4,5.56,0.028,89.06389618,1.84,3.35,,,,2913.0,,,,119.9070129,1.013732076,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.57,0.171,3.8,0.38,136.6268463,26.32383728,17.23699951,36220.625,37988.38281,10/5/2022 15:00
101,10/5/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,24.0,36.0,14.0,100.0,29.94663048,7.98682642,23.156744,23.43662071,48.3,6.280167103,215.0,18.0,149.0,4500.0,2.3,5.2,0.027,94.26760101,1.3,2.9,,,,26993.0,,,,125.6147614,1.01289618,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.57,0.171,3.8,0.38,143.7993011,25.34021378,17.24600029,36056.33984,39462.96484,10/5/2022 21:00
103,10/6/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,25.0,37.0,14.0,80.0,29.41364288,7.858998775,22.36681175,22.71659279,78.1,6.04196167,303.0,20.0,151.0,4500.0,1.8,4.48,0.029,89.50788116,1.02,2.85,,,532.2821517,25877.0,,,,84.47563171,1.012480617,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.63,0.189,4.2,0.42,136.7181854,26.38885307,17.23699951,34948.60547,37894.78906,10/6/2022 21:00
104,10/7/2022 7:00,Rainy,Vụ 3-2022,A15,A15N12,Circle,nuôi 1,"one period, exchange water",834,MPNT,26.0,38.0,8.0,80.0,28.07057381,7.74758482,23.36548233,23.63881683,61.1,6.128002644,252.0,22.6,150.0,4000.0,2.3,6.0,0.027,89.26571655,1.77,4.6,,,,15211.0,,,,110.5729294,1.013653278,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A15N12,0.69,0.207,4.6,0.46,136.7788391,25.97383308,17.21899986,36367.41016,38500.28516,10/7/2022 15:00
