farm,Độ mặn,Nhiệt độ,saturated_oxygen,oxygen_component_pressure,redox,external_voltage,module,module_name,Tuổi tôm,Date,pH,Độ kiềm,nitrit_kit,tan,type3,Season,Loại ao,Giống tôm,Công nghệ nuôi,Mực nước,Vụ nuôi,Time,ao,Độ cứng,Độ màu,area,Ngày thả,Tuổi tôm.1,Độ trong,TDS
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,-5.0,2024-04-13,7.5,128.0,0.03,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A1,4605,275,834,18,32,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,-5.0,2024-04-13,7.4,129.0,0.04,0.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,18,32,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,-5.0,2024-04-13,7.5,119.0,0.03,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A1,4605,275,834,18,32,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,-5.0,2024-04-13,7.4,116.0,0.04,0.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,18,32,22.5,0
Farm_Mien_Nam,34.4486351,31.32004547,96.91951752,147.3191986,128.2739258,17.25499916,Khu_2,2A5,5.0,2024-04-23,8.2,120.0,0.04,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,28,42,22.5,0
Farm_Mien_Nam,34.4486351,31.48120117,95.99248505,145.8506622,144.0858459,17.28199959,Khu_2,2A3,8.0,2024-04-26,8.1,125.0,0.02,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,31,45,22.5,0
Farm_Mien_Nam,34.4486351,32.02508545,97.34056854,147.6740723,141.1676025,17.26399994,Khu_2,2A3,9.0,2024-04-27,8.1,126.0,0.02,0.5,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,32,46,22.5,0
Farm_Mien_Nam,34.4486351,31.93444061,97.68795776,148.2342682,203.9503632,17.26399994,Khu_2,2A1,10.0,2024-04-28,8.1,118.0,0.07,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A1,4605,275,834,33,47,22.5,0
Farm_Mien_Nam,34.4486351,31.86393738,98.39796448,149.3408508,181.1098633,17.29100037,Khu_2,2A1,10.0,2024-04-28,8.1,118.0,0.07,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,33,47,22.5,0
Farm_Mien_Nam,34.4486351,31.68264008,106.4819031,161.6950989,145.3208466,17.25499916,Khu_2,2A1,12.0,2024-04-30,8.3,131.0,0.03,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,35,49,22.5,0
Farm_Mien_Nam,34.4486351,32.44811249,103.4497604,156.7553101,276.8850098,17.26399994,Khu_2,2A5,12.0,2024-04-30,7.8,120.0,0.05,0.5,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,35,49,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A2,-3.0,2024-04-15,7.9,122.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A2,4605,275,834,17,31,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,-5.0,2024-04-13,8.1,121.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,18,32,22.5,0
Farm_Mien_Nam,34.4486351,30.2,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,14.0,2024-05-02,8.2,129.0,0.06,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,37,51,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,-5.0,2024-04-13,8.0,128.0,0.03,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,18,32,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,-5.0,2024-04-13,8.1,129.0,0.04,0.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A3,4605,275,834,18,32,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,-5.0,2024-04-13,8.0,119.0,0.03,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,18,32,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,-5.0,2024-04-13,8.1,116.0,0.04,0.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,18,32,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,-5.0,2024-04-13,8.1,126.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,18,32,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,-4.0,2024-04-14,8.1,121.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,19,33,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,125.0,0.03,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,125.0,0.01,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,125.0,0.03,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,125.0,0.01,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,127.0,0.03,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,127.0,0.01,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,127.0,0.03,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,127.0,0.01,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,125.0,0.03,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,125.0,0.01,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,125.0,0.03,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,125.0,0.01,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,127.0,0.03,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,127.0,0.01,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,127.0,0.03,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.0,127.0,0.01,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.3,133.0,0.03,0.4,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.3,133.0,0.03,0.4,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.3,125.0,0.03,0.4,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.3,125.0,0.03,0.4,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.2,133.0,0.03,0.4,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.2,133.0,0.03,0.4,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.2,125.0,0.03,0.4,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,32.8,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,15.0,2024-05-03,8.2,125.0,0.03,0.4,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,38,52,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,-7.0,2024-04-11,8.2,117.0,0.04,0.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A1,4605,275,834,16,30,22.5,0
Farm_Mien_Nam,34.4486351,34.0,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,15.0,2024-05-03,7.9,119.0,0.04,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A3,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,34.0,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,15.0,2024-05-03,7.9,119.0,0.04,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,34.0,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,15.0,2024-05-03,7.9,120.0,0.04,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A3,4605,275,834,38,52,22.5,0
Farm_Mien_Nam,34.4486351,34.0,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,15.0,2024-05-03,7.9,120.0,0.04,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,38,52,22.5,0
