farm,salinity_percentage,temperature_Iots,saturated_oxygen,oxygen_component_pressure,redox,external_voltage,module,pond,Tu?i tôm,Date,pH,?? ki?m,nitrit_kit,tan,type3
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,127,0.01,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,125,0.03,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,125,0.01,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,125,0.03,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,125,0.01,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,127,0.03,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,127,0.01,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,127,0.03,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,127,0.01,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8.3,133,0.03,0.4,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8.3,133,0.03,0.4,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8.3,125,0.03,0.4,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8.3,125,0.03,0.4,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8.2,133,0.03,0.4,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8.2,133,0.03,0.4,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8.2,125,0.03,0.4,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8.2,125,0.03,0.4,Culture Pond
,,,,,,,Khu_2,2A1,-7,2024-04-11,8.2,117,,0.2,Culture Pond
Farm_Mien_Nam,,34,,,,,Khu_2,2A3,15,2024-05-03,7.9,119,,0.3,Culture Pond
Farm_Mien_Nam,,34,,,,,Khu_2,2A3,15,2024-05-03,7.9,119,,0.3,Culture Pond
Farm_Mien_Nam,,34,,,,,Khu_2,2A3,15,2024-05-03,7.9,120,,0.3,Culture Pond
Farm_Mien_Nam,,34,,,,,Khu_2,2A3,15,2024-05-03,7.9,120,,0.3,Culture Pond
Farm_Mien_Nam,,34,,,,,Khu_2,2A3,15,2024-05-03,7.9,119,,0.3,Culture Pond
Farm_Mien_Nam,,34,,,,,Khu_2,2A3,15,2024-05-03,7.9,119,,0.3,Culture Pond
Farm_Mien_Nam,,34,,,,,Khu_2,2A3,15,2024-05-03,7.9,120,,0.3,Culture Pond
Farm_Mien_Nam,,34,,,,,Khu_2,2A3,15,2024-05-03,7.9,120,,0.3,Culture Pond
,,,,,,,Khu_2,2A1,-6,2024-04-12,7.9,116,,,Culture Pond
,,,,,,,Khu_2,2A5,-5,2024-04-13,8.1,126,0.01,0.3,Culture Pond
,,,,,,,Khu_2,2A5,-5,2024-04-13,8.1,111,0.01,0.3,Culture Pond
,,,,,,,Khu_2,2A5,-5,2024-04-13,8,116,,,Culture Pond
,,,,,,,Khu_2,2A1,-3,2024-04-15,8.1,133,,,Culture Pond
,,,,,,,Khu_2,2A3,-4,2024-04-14,8,120,,,Culture Pond
,,,,,,,Khu_2,2A3,-1,2024-04-17,8.3,120,,,Culture Pond
,,,,,,,Khu_2,2A3,-1,2024-04-17,7.8,120,,,Culture Pond
,,,,,,,Khu_2,2A3,-1,2024-04-17,7.9,120,,,Culture Pond
,,,,,,,Khu_2,2A5,0,2024-04-18,8.2,127,,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,8.2,137,,0.3,Culture Pond
Farm_Mien_Nam,,29.43657684,98.10900879,149.8475494,189.1469574,17.26399994,Khu_2,2A1,1,2024-04-19,8.2,121,0.06,0.3,Culture Pond
Farm_Mien_Nam,,30.10133362,96.89781952,147.7541046,187.9429474,17.25499916,Khu_2,2A1,1,2024-04-19,8.2,121,0.06,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,8.2,126,0.01,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,8.2,126,0.04,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,8.2,126,0.01,1.5,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,8.2,126,0.04,1.5,Culture Pond
,,,,,,,Khu_2,2A1,-1,2024-04-17,8.2,121,,,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,8.2,197,0.01,0.3,Culture Pond
Farm_Mien_Nam,,30.02075195,95.05600739,144.978714,130.5770569,17.26399994,Khu_2,2A5,6,2024-04-24,7.9,126,0.03,0.4,Culture Pond
Farm_Mien_Nam,,30.02075195,95.05600739,144.978714,130.5770569,17.26399994,Khu_2,2A5,6,2024-04-24,7.9,126,0.03,0.4,Culture Pond
Farm_Mien_Nam,,34,,,,,Khu_2,2A5,16,2024-05-04,8.1,121,0.05,0.4,Culture Pond
Farm_Mien_Nam,,35,,,,,Khu_2,2A5,17,2024-05-05,8.2,121,0.04,0.5,Culture Pond
,,,,,,,Khu_2,2A3,20,2024-05-08,8,118,,0.2,Culture Pond
Farm_Mien_Nam,,31.3,,,,,Khu_2,2A3,21,2024-05-09,8,120,,0.5,Culture Pond
,,,,,,,Khu_2,2A1,22,2024-05-10,8,130,0.1,0.5,Culture Pond
,,,,,,,Khu_2,2A5,22,2024-05-10,8,122,,0.3,Culture Pond
,,,,,,,Khu_2,2A3,23,2024-05-11,8,116,,0.2,Culture Pond
,,,,,,,Khu_2,2A3,23,2024-05-11,8.2,119,,0.2,Culture Pond
Farm_Mien_Nam,,31.7,,,,,Khu_2,2A5,24,2024-05-12,8.1,120,,0.3,Culture Pond
Farm_Mien_Nam,,,,,,,Khu_2,2A5,24,2024-05-12,8.1,120,,0.3,Culture Pond
Farm_Mien_Nam,39.3531189,32.31376266,116.2911224,176.2807922,-28.73111343,17.19199944,Khu_2,2A5,31,2024-05-19,7.7,114,0.13,0.3,Culture Pond
Farm_Mien_Nam,39.26037979,31.40351868,89.5898056,136.1473083,-22.90654755,17.19199944,Khu_2,2B7,31,2024-05-19,8.1,128,0.07,0.4,Culture Pond
Farm_Mien_Nam,35.94530487,31.15885544,94.05277252,143.0233612,-32.29070282,17.17399979,Khu_2,2B8,33,2024-05-21,8,109,,0.5,Culture Pond
,,,,,,,Khu_2,2A2,36,2024-05-24,8,111,0.03,0.5,Culture Pond
Farm_Mien_Nam,35.28553772,33.11940002,112.159584,169.622818,-19.27066422,17.20100021,Khu_2,2A4,37,2024-05-25,8.1,124,0.02,0.4,Culture Pond
,,,,,,,Khu_2,2A1,37,2024-05-25,7.8,115,0.04,0.3,Culture Pond
Farm_Mien_Nam,35.28553772,33.11940002,112.159584,169.622818,-19.27066422,17.20100021,Khu_2,2A4,37,2024-05-25,8.1,124,,0.3,Culture Pond
Farm_Mien_Nam,34.56929779,33.26453781,118.1567917,178.6158752,-11.05237579,17.12000084,Khu_2,2A4,38,2024-05-26,7.6,102,,0.3,Culture Pond
Farm_Mien_Nam,33.36562729,32.42502975,111.2335052,168.5609436,9.005779266,17.11100006,Khu_2,2B7,39,2024-05-27,7.9,104,,0.2,Culture Pond
Farm_Mien_Nam,29.94182396,30.9573555,92.97919464,141.4662933,-17.50636673,17.16500092,Khu_2,2A3,40,2024-05-28,7.8,93,,0.4,Culture Pond
Farm_Mien_Nam,,33.3,,,,,Khu_2,2A1,17,2024-05-05,8.4,122,,0.3,Culture Pond
Farm_Mien_Nam,,33.3,,,,,Khu_2,2A1,17,2024-05-05,8.3,116,0.04,0.3,Culture Pond
,,,,,,,Khu_2,2A1,18,2024-05-06,7.9,164,,0.4,Culture Pond
,,,,,,,Khu_2,2A3,22,2024-05-10,8,120,,0.3,Culture Pond
Farm_Mien_Nam,40,32,,,,,Khu_2,2A5,27,2024-05-15,7.8,120,0.03,0.3,Culture Pond
Farm_Mien_Nam,39.49187088,32.08205032,101.6791916,154.2319336,66.20001221,17.15600014,Khu_2,2A5,27,2024-05-15,7.8,120,0.03,0.3,Culture Pond
,,,,,,,Khu_2,2A3,28,2024-05-16,7.9,116,,0.2,Culture Pond
,,,,,,,Khu_2,2A3,28,2024-05-16,8.2,120,,0.2,Culture Pond
,,,,,,,Khu_2,2A1,30,2024-05-18,8.1,127,0.05,0.3,Culture Pond
Farm_Mien_Nam,38.21407318,31.37589645,91.51007843,139.0758514,-21.40927887,17.14699936,Khu_2,2B7,32,2024-05-20,8.1,123,0.07,0.3,Culture Pond
Farm_Mien_Nam,35.89271164,32.13128281,107.097168,162.4274597,-26.03698349,17.20999908,Khu_2,2A5,33,2024-05-21,7.9,105,,0.3,Culture Pond
,,,,,,,Khu_2,2A1,33,2024-05-21,8.2,106,0.03,0.3,Culture Pond
Farm_Mien_Nam,35.89271164,32.13128281,107.097168,162.4274597,-26.03698349,17.20999908,Khu_2,2A5,33,2024-05-21,8.2,93,,0.3,Culture Pond
Farm_Mien_Nam,34.94079971,33.0519104,104.61129,158.2387085,-20.33401108,17.12899971,Khu_2,2A2,38,2024-05-26,8,113,0.1,0.4,Culture Pond
Farm_Mien_Nam,34.73880386,33.02161789,98.58891296,149.1423035,,,Khu_2,2B8,38,2024-05-26,7.8,110,,0.4,Culture Pond
Farm_Mien_Nam,34.73880386,33.02161789,98.58891296,149.1423035,,,Khu_2,2B8,38,2024-05-26,8,123,0.01,0.3,Culture Pond
Farm_Mien_Nam,29.8268013,31.03041267,104.2406235,158.5697937,-22.01724625,17.16500092,Khu_2,2A2,40,2024-05-28,8,99,0.02,0.4,Culture Pond
Farm_Mien_Nam,29.44798279,31.25444794,109.624054,166.6596069,-23.91505814,,Khu_2,2B7,40,2024-05-28,7.9,88,,0.2,Culture Pond
Farm_Mien_Nam,29.8268013,31.03041267,104.2406235,158.5697937,-22.01724625,17.16500092,Khu_2,2A2,40,2024-05-28,8,85,,0.2,Culture Pond
Farm_Mien_Nam,29.81110382,31.31761551,101.4814911,154.2544708,-26.98112106,17.17399979,Khu_2,2B8,40,2024-05-28,8.1,93,,0.3,Culture Pond
,,,,,,,Khu_2,2A2,-4,2024-04-14,8.1,124,,,Culture Pond
,,,,,,,Khu_2,2A3,-3,2024-04-15,8,123,,,Culture Pond
,,,,,,,Khu_2,2A3,-3,2024-04-15,7.9,140,,,Culture Pond
Farm_Mien_Nam,,33.2135849,94.98466492,143.6043243,125.1554108,17.28199959,Khu_2,2A1,-2,2024-04-16,8.2,128,,,Culture Pond
Farm_Mien_Nam,30.05598259,31.49552917,103.0144577,156.5094604,-21.31867981,17.14699936,Khu_2,2B8,41,2024-05-29,7.9,97,,0.3,Culture Pond
,,,,,,,Khu_2,2A2,-2,2024-04-16,8.2,131,,,Culture Pond
Farm_Mien_Nam,,32.58911896,95.43577576,144.5452423,140.349823,17.26399994,Khu_2,2A3,-2,2024-04-16,8.2,123,,,Culture Pond
Farm_Mien_Nam,33,29.92003632,99.61035156,151.9517517,167.6511383,17.25499916,Khu_2,2A3,-2,2024-04-16,8.2,123,,,Culture Pond
,,,,,,,Khu_2,2A5,0,2024-04-18,8.1,126,0.03,0.4,Culture Pond
Farm_Mien_Nam,,29.55744171,95.54013824,145.8809204,127.5658264,17.28199959,Khu_2,2A1,3,2024-04-21,8.3,124,0.02,0.3,Culture Pond
Farm_Mien_Nam,,34.73446655,92.50953674,139.2078552,106.8377075,17.24600029,Khu_2,2A1,3,2024-04-21,8.3,124,0.02,0.3,Culture Pond
Farm_Mien_Nam,,33.46538544,96.02155304,145.0673218,131.0681915,17.25499916,Khu_2,2A5,4,2024-04-22,8.2,120,,0.3,Culture Pond
Farm_Mien_Nam,,30.38334656,94.80900574,144.4655304,53.71567154,17.25499916,Khu_2,2A5,4,2024-04-22,8.2,120,,0.3,Culture Pond
Farm_Mien_Nam,33,29.92003632,100.1347809,152.7594604,176.5298462,17.28199959,Khu_2,2A1,-2,2024-04-16,8.2,128,,,Culture Pond
Farm_Mien_Nam,30.14163208,31.12039948,97.71190643,148.6029053,-13.1647644,17.16500092,Khu_2,2A3,41,2024-05-29,7.9,95,,0.3,Culture Pond
,,,,,,,Khu_2,2A3,6,2024-04-24,8.1,116,,0.3,Culture Pond
,,,,,,,Khu_2,2A3,6,2024-04-24,8,114,0.04,0.5,Culture Pond
,,,,,,,Khu_2,2A3,6,2024-04-24,8,114,0.04,0.5,Culture Pond
Farm_Mien_Nam,,33.8,,,,,Khu_2,2A3,17,2024-05-05,8.2,111,,0.2,Culture Pond
,,,,,,,Khu_2,2A5,19,2024-05-07,8.2,122,0.04,0.3,Culture Pond
,,,,,,,Khu_2,2A3,19,2024-05-07,8.3,119,,0.3,Culture Pond
Farm_Mien_Nam,,31,,,,,Khu_2,2A1,21,2024-05-09,8.1,120,0.04,0.3,Culture Pond
Farm_Mien_Nam,,31.4,,,,,Khu_2,2A1,24,2024-05-12,7.8,146,0.06,0.4,Culture Pond
Farm_Mien_Nam,,,,,,,Khu_2,2A1,24,2024-05-12,7.8,146,0.06,0.4,Culture Pond
Farm_Mien_Nam,,31.4,,,,,Khu_2,2A3,24,2024-05-12,7.8,128,,0.2,Culture Pond
Farm_Mien_Nam,,,,,,,Khu_2,2A3,24,2024-05-12,7.8,128,,0.2,Culture Pond
Farm_Mien_Nam,,31.4,,,,,Khu_2,2A1,24,2024-05-12,8.1,125,0.06,0.3,Culture Pond
Farm_Mien_Nam,,,,,,,Khu_2,2A1,24,2024-05-12,8.1,125,0.06,0.3,Culture Pond
,,,,,,,Khu_2,2A5,26,2024-05-14,8.1,115,0.01,0.3,Culture Pond
Farm_Mien_Nam,40,31.5,,,,,Khu_2,2A3,27,2024-05-15,8.2,119,,0.2,Culture Pond
Farm_Mien_Nam,39.72104645,31.45406532,107.5457458,163.4121857,-19.20867538,17.20100021,Khu_2,2A3,27,2024-05-15,8.2,119,,0.2,Culture Pond
,,,,,,,Khu_2,2A1,28,2024-05-16,8,125,0.04,0.3,Culture Pond
Farm_Mien_Nam,38.51156998,31.64520264,108.0982819,164.1664276,-18.37659454,17.17399979,Khu_2,2A4,32,2024-05-20,8,125,,0.3,Culture Pond
Farm_Mien_Nam,38.51156998,31.64520264,108.0982819,164.1664276,-18.37659454,17.17399979,Khu_2,2A4,32,2024-05-20,8.1,124,,0.3,Culture Pond
Farm_Mien_Nam,35.63978958,31.92246437,100.3771591,152.3242493,-28.6858139,17.17399979,Khu_2,2A4,33,2024-05-21,8,117,0.05,0.4,Culture Pond
Farm_Mien_Nam,35.01538849,32.96163559,101.1720123,153.0768433,-13.69643784,17.19199944,Khu_2,2B7,36,2024-05-24,8,100,,0.5,Culture Pond
,,,,,,,Khu_2,2A4,36,2024-05-24,7.9,108,,0.3,Culture Pond
Farm_Mien_Nam,34.77039719,33.10964584,97.14937592,146.92659,-22.9137001,17.20999908,Khu_2,2B8,36,2024-05-24,8,100,,0.4,Culture Pond
Farm_Mien_Nam,35.35155487,33.04423904,96.95530701,146.6613007,-18.74614334,17.12000084,Khu_2,2A2,37,2024-05-25,8.1,121,0.06,0.3,Culture Pond
Farm_Mien_Nam,35.5409584,33.15816879,105.8516159,160.064743,-9.962802887,17.12000084,Khu_2,2B7,37,2024-05-25,7.8,119,0.01,0.5,Culture Pond
Farm_Mien_Nam,35.0500679,33.18500519,98.19043732,148.4680328,-16.30235291,17.12000084,Khu_2,2B8,37,2024-05-25,7.7,111,,0.4,Culture Pond
Farm_Mien_Nam,35.5409584,33.15816879,105.8516159,160.064743,-9.962802887,17.12000084,Khu_2,2B7,37,2024-05-25,8,112,,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,8.2,197,0.04,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,8.2,197,0.01,1.5,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,8.2,197,0.04,1.5,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,7.5,126,0.01,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,7.5,126,0.04,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,7.5,126,0.01,1.5,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,7.5,126,0.04,1.5,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,7.5,197,0.01,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,7.5,197,0.04,0.3,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,7.5,197,0.01,1.5,Culture Pond
Farm_Mien_Nam,,30.42363739,96.91085052,147.6453705,202.8321838,17.25499916,Khu_2,2A5,1,2024-04-19,7.5,197,0.04,1.5,Culture Pond
Farm_Mien_Nam,,29.55744171,95.54013824,145.8809204,127.5658264,17.28199959,Khu_2,2A1,3,2024-04-21,8.2,122,0.07,0.3,Culture Pond
Farm_Mien_Nam,,34.73446655,92.50953674,139.2078552,106.8377075,17.24600029,Khu_2,2A1,3,2024-04-21,8.2,122,0.07,0.3,Culture Pond
Farm_Mien_Nam,,33.404953,93.63622284,141.4806976,103.6142883,17.24600029,Khu_2,2A3,4,2024-04-22,8.1,121,0.02,0.2,Culture Pond
Farm_Mien_Nam,,29.96031952,94.54483795,144.2172546,99.23692322,17.26399994,Khu_2,2A3,4,2024-04-22,8.1,121,0.02,0.2,Culture Pond
Farm_Mien_Nam,,33.404953,93.63622284,141.4806976,103.6142883,17.24600029,Khu_2,2A3,4,2024-04-22,8.2,123,,0.2,Culture Pond
Farm_Mien_Nam,,29.96031952,94.54483795,144.2172546,99.23692322,17.26399994,Khu_2,2A3,4,2024-04-22,8.2,123,,0.2,Culture Pond
