,Date,Season,Vụ nuôi,module_name,ao,Ngày thả,Time,Nhiệt độ,pH,Độ mặn,TDS,Độ đục,DO,Độ màu,Độ trong,Độ kiềm,Độ cứng,Amoni,Nitrat,Nitrit,Phosphate (PO43-),Silica,Canxi,Kali,Magie,Loại ao,Công nghệ nuôi,area,Giống tôm,Tuổi tôm,Con/Kg,Mực nước,Thay nước (cm),WQI,unit,size
10,2022-06-11,Rainy,Vụ 1-2022,A1,D3N6,59,8,29.28,7.44,21.94,22.33,38.06,4.52,478.0,21.0,140.0,4000.0,18.9,3.6,0.24,4.2,3.52,142.0,136.75,742.75,Rectangle,Nuôi 1,1785.0,Vietuc,68.0,75.19,71.0,0.0,0.6,Vụ 1-2022-A1-D3N6,74.13243616301475
11,2022-06-10,Rainy,Vụ 1-2022,A1,D3N6,58,8,29.07,7.44,21.75,22.16,35.1,4.56,411.0,23.0,138.0,5000.0,3.36,0.0,0.25,3.65,1.92,142.75,138.25,755.75,Rectangle,Nuôi 1,1785.0,Vietuc,67.0,,69.0,0.0,0.65,Vụ 1-2022-A1-D3N6,77.17996891818142
12,2022-06-09,Rainy,Vụ 1-2022,A1,D3N6,57,8,30.39,7.4,23.36,23.62,45.63,4.21,412.0,25.0,152.0,5000.0,3.84,0.0,0.12,5.36,2.56,142.75,134.25,758.0,Rectangle,Nuôi 1,1785.0,Vietuc,66.0,,70.0,10.0,0.64,Vụ 1-2022-A1-D3N6,80.54117643100378
13,2022-06-08,Rainy,Vụ 1-2022,A1,D3N6,56,8,29.67,7.37,23.16,23.44,39.97,3.52,411.0,26.0,153.0,6000.0,2.12,0.1,0.09,1.63,3.32,567.5,288.25,886.75,Rectangle,Nuôi 1,1785.0,Vietuc,65.0,,72.0,0.0,0.7,Vụ 1-2022-A1-D3N6,84.24834444260256
14,2022-06-07,Rainy,Vụ 1-2022,A1,D3N6,55,8,29.61,7.41,23.52,26.71,45.63,3.74,417.0,27.0,154.0,6500.0,4.44,0.41,3.56,1.5,1.72,176.5,154.5,749.5,Rectangle,Nuôi 1,1785.0,Vietuc,64.0,,75.0,10.0,0.66,Vụ 1-2022-A1-D3N6,88.33708178291674
15,2022-06-06,Rainy,Vụ 1-2022,A1,D3N6,54,8,29.71,7.35,23.5,23.75,46.29,3.7,412.0,26.0,154.0,6500.0,5.2,0.1,0.45,1.67,2.72,141.75,137.25,747.75,Rectangle,Nuôi 1,1785.0,Vietuc,63.0,,70.0,0.0,0.66,Vụ 1-2022-A1-D3N6,92.84666240774243
16,2022-06-05,Rainy,Vụ 1-2022,A1,D3N6,53,8,29.63,7.38,23.5,23.7,45.06,3.77,309.0,27.0,155.0,6500.0,6.12,0.12,0.48,1.83,2.4,210.0,191.75,758.0,Rectangle,Nuôi 1,1785.0,Vietuc,62.0,,70.0,0.0,0.68,Vụ 1-2022-A1-D3N6,97.82040264077011
17,2022-06-04,Rainy,Vụ 1-2022,A1,D3N6,52,8,29.76,7.31,23.42,23.68,41.67,3.72,313.0,27.0,157.0,6500.0,6.56,0.4,0.41,1.89,2.92,280.75,266.0,862.5,Rectangle,Nuôi 1,1785.0,Vietuc,61.0,,71.0,20.0,0.69,Vụ 1-2022-A1-D3N6,103.30607724418061
18,2022-06-03,Rainy,Vụ 1-2022,A1,D3N6,51,8,28.79,7.32,23.32,23.59,38.51,3.54,574.0,26.0,150.0,6000.0,11.3,0.6,0.63,1.84,2.52,250.5,234.25,774.5,Rectangle,Nuôi 1,1785.0,Vietuc,60.0,,70.0,0.0,0.66,Vụ 1-2022-A1-D3N6,109.35637831432405
19,2022-06-02,Rainy,Vụ 1-2022,A1,D3N6,50,8,29.59,7.35,24.2,24.25,50.83,3.71,530.0,24.0,150.0,6500.0,11.2,0.1,0.53,1.8,2.44,253.0,228.75,690.0,Rectangle,Nuôi 1,1785.0,Vietuc,59.0,,72.0,0.0,0.66,Vụ 1-2022-A1-D3N6,116.02942141035837
20,2022-06-01,Rainy,Vụ 1-2022,A1,D3N6,49,8,30.54,7.58,24.26,25.4,65.06,3.7,413.0,25.0,161.0,6500.0,12.1,1.12,0.29,1.87,3.76,442.75,331.0,890.0,Rectangle,Nuôi 1,1785.0,Vietuc,58.0,,70.0,0.0,0.69,Vụ 1-2022-A1-D3N6,123.38930377741465
21,2022-05-31,Rainy,Vụ 1-2022,A1,D3N6,48,8,29.54,7.38,26.13,26.13,54.79,4.07,530.0,25.0,155.0,6500.0,12.5,1.3,0.54,1.93,3.72,251.25,227.25,757.75,Rectangle,Nuôi 1,1785.0,Vietuc,57.0,,72.0,0.0,0.65,Vụ 1-2022-A1-D3N6,131.50672002624685
22,2022-05-30,Rainy,Vụ 1-2022,A1,D3N6,47,8,28.84,7.36,26.29,26.28,49.04,3.85,530.0,21.0,157.0,6500.0,5.24,0.3,0.02,1.43,3.72,245.25,227.75,760.0,Rectangle,Nuôi 1,1785.0,Vietuc,56.0,,64.0,0.0,0.65,Vụ 1-2022-A1-D3N6,140.45964118321362
23,2022-05-29,Rainy,Vụ 1-2022,A1,D3N6,46,8,28.8,7.57,26.13,26.13,87.33,5.17,586.0,23.0,143.0,6500.0,2.12,0.0,0.02,0.93,2.12,206.0,189.5,769.75,Rectangle,Nuôi 1,1785.0,Vietuc,55.0,,70.0,0.0,0.66,Vụ 1-2022-A1-D3N6,150.33406363313972
24,2022-05-28,Rainy,Vụ 1-2022,A1,D3N6,45,8,28.8,7.68,26.13,25.13,87.33,5.17,484.0,29.0,140.0,6500.0,2.56,0.0,0.0,0.31,2.64,249.5,228.75,753.25,Rectangle,Nuôi 1,1785.0,Vietuc,54.0,156.25,70.0,0.0,0.67,Vụ 1-2022-A1-D3N6,161.22483514895166
25,2022-05-27,Rainy,Vụ 1-2022,A1,D3N6,44,8,28.85,7.62,29.0,28.7,73.28,5.89,408.0,22.0,133.0,6000.0,2.48,0.02,0.0,0.21,1.84,247.5,228.5,753.75,Rectangle,Nuôi 1,1785.0,Vietuc,53.0,,70.0,0.0,0.65,Vụ 1-2022-A1-D3N6,173.2365659424331
26,2022-05-26,Rainy,Vụ 1-2022,A1,D3N6,43,8,29.61,7.67,28.75,28.47,28.71,5.89,366.0,21.0,129.0,5500.0,2.68,0.0,0.0,0.17,3.72,247.25,228.5,771.0,Rectangle,Nuôi 1,1785.0,Vietuc,52.0,,52.0,40.0,0.64,Vụ 1-2022-A1-D3N6,186.4846334871055
27,2022-05-25,Rainy,Vụ 1-2022,A1,D3N6,42,8,28.94,7.87,29.01,28.7,47.14,4.01,401.0,28.0,143.0,5500.0,2.96,0.0,0.0,0.07,3.96,246.5,230.25,757.75,Rectangle,Nuôi 1,1785.0,Vietuc,51.0,,77.0,0.0,0.62,Vụ 1-2022-A1-D3N6,201.09629076495978
28,2022-05-24,Rainy,Vụ 1-2022,A1,D3N6,41,8,28.85,8.0,29.53,29.17,28.74,4.95,417.0,30.0,140.0,6000.0,3.2,0.02,0.0,0.09,3.2,559.5,486.25,1015.25,Rectangle,Nuôi 1,1785.0,Vietuc,50.0,,70.0,0.0,0.68,Vụ 1-2022-A1-D3N6,217.21188858219244
29,2022-05-23,Rainy,Vụ 1-2022,A1,D3N6,40,8,28.38,7.6,29.29,28.96,35.73,5.38,601.0,28.0,142.0,6500.0,3.12,0.0,0.11,0.0,1.76,245.0,225.5,725.0,Rectangle,Nuôi 1,1785.0,Vietuc,49.0,,71.0,0.0,0.65,Vụ 1-2022-A1-D3N6,234.98622369477545
30,2022-05-22,Rainy,Vụ 1-2022,A1,D3N6,39,8,29.54,7.6,30.47,29.99,44.05,4.79,600.0,28.0,136.0,5000.0,3.88,0.0,0.09,0.0,1.64,245.25,226.5,743.0,Rectangle,Nuôi 1,1785.0,Vietuc,48.0,,65.0,0.0,0.61,Vụ 1-2022-A1-D3N6,254.590025693146
31,2022-05-21,Rainy,Vụ 1-2022,A1,D3N6,38,8,30.92,7.49,30.26,29.79,51.03,5.11,660.0,27.0,129.0,6000.0,3.4,0.0,0.08,0.89,1.6,239.75,222.25,748.5,Rectangle,Nuôi 1,1785.0,Vietuc,47.0,232.56,70.0,0.0,0.63,Vụ 1-2022-A1-D3N6,276.211596928137
32,2022-05-20,Rainy,Vụ 1-2022,A1,D3N6,37,8,29.4,7.9,30.38,29.91,37.12,5.32,602.0,29.0,107.0,5500.0,3.32,0.0,0.0,0.87,1.68,245.5,226.25,745.0,Rectangle,Nuôi 1,1785.0,Vietuc,46.0,,66.0,0.0,0.61,Vụ 1-2022-A1-D3N6,300.05862123029283
33,2022-05-19,Rainy,Vụ 1-2022,A1,D3N6,36,8,28.57,7.42,30.02,29.6,26.81,5.06,301.0,31.0,153.0,6000.0,3.32,0.0,0.0,1.08,2.64,241.5,220.25,742.0,Rectangle,Nuôi 1,1785.0,Vietuc,45.0,,70.0,10.0,0.65,Vụ 1-2022-A1-D3N6,326.3601587960406
34,2022-05-18,Rainy,Vụ 1-2022,A1,D3N6,35,8,29.34,7.64,30.6,30.1,21.79,5.82,219.0,33.0,150.0,6000.0,2.12,0.0,0.0,1.32,2.64,243.25,222.0,734.0,Rectangle,Nuôi 1,1785.0,Vietuc,44.0,,71.0,0.0,0.66,Vụ 1-2022-A1-D3N6,355.36884640239765
35,2022-05-17,Rainy,Vụ 1-2022,A1,D3N6,34,8,29.51,7.74,30.85,30.32,16.61,6.19,307.0,32.0,150.0,6000.0,2.8,0.01,0.0,1.24,1.12,248.25,228.25,750.75,Rectangle,Nuôi 1,1785.0,Vietuc,43.0,,61.0,0.0,0.66,Vụ 1-2022-A1-D3N6,387.36332408415507
36,2022-05-16,Rainy,Vụ 1-2022,A1,D3N6,33,8,31.75,7.67,31.02,30.45,13.59,5.67,203.0,29.0,153.0,5000.0,2.68,0.0,0.05,1.68,1.12,506.2,509.0,1050.0,Rectangle,Nuôi 1,1785.0,Vietuc,42.0,,69.0,20.0,0.68,Vụ 1-2022-A1-D3N6,422.65091158274043
37,2022-05-15,Rainy,Vụ 1-2022,A1,D3N6,32,8,30.9,7.76,31.05,30.49,28.24,6.01,217.0,33.0,150.0,5500.0,5.88,0.0,0.0,0.36,2.92,340.5,288.75,1027.0,Rectangle,Nuôi 1,1785.0,Vietuc,41.0,,82.0,0.0,0.66,Vụ 1-2022-A1-D3N6,461.5705602751248
38,2022-05-14,Rainy,Vụ 1-2022,A1,D3N6,31,8,29.62,7.86,31.11,30.53,33.24,6.04,546.0,24.0,155.0,6000.0,2.72,0.0,0.5,1.48,2.68,310.0,260.0,723.0,Rectangle,Nuôi 1,1785.0,Vietuc,40.0,,70.0,0.0,0.65,Vụ 1-2022-A1-D3N6,504.49610893722416
39,2022-05-13,Rainy,Vụ 1-2022,A1,D3N6,30,8,30.28,7.9,30.7,30.18,40.82,5.9,473.0,26.0,157.0,6000.0,3.48,0.0,0.0,1.68,2.04,360.5,296.25,1045.0,Rectangle,Nuôi 1,1785.0,Vietuc,39.0,,62.0,0.0,0.67,Vụ 1-2022-A1-D3N6,551.8398746147087
40,2022-05-12,Rainy,Vụ 1-2022,A1,D3N6,29,8,30.78,7.73,30.76,30.23,49.43,6.13,474.0,26.0,157.0,4500.0,3.08,0.0,0.0,1.12,2.08,340.0,405.0,602.0,Rectangle,Nuôi 1,1785.0,Vietuc,38.0,,69.0,0.0,0.63,Vụ 1-2022-A1-D3N6,604.0566130929661
41,2022-05-11,Rainy,Vụ 1-2022,A1,D3N6,28,8,33.29,7.89,31.25,30.64,36.63,6.04,477.0,25.0,161.0,5000.0,2.72,0.01,0.02,2.12,2.68,501.75,371.5,801.0,Rectangle,Nuôi 1,1785.0,Vietuc,37.0,,70.0,0.0,0.65,Vụ 1-2022-A1-D3N6,661.6478870081174
42,2022-05-10,Rainy,Vụ 1-2022,A1,D3N6,27,8,29.43,7.77,30.4,29.93,49.19,5.61,534.0,24.0,147.0,5500.0,3.24,0.0,0.0,0.84,3.35,560.0,490.0,971.0,Rectangle,Nuôi 1,1785.0,Vietuc,36.0,,68.0,0.0,0.67,Vụ 1-2022-A1-D3N6,725.166883556533
43,2022-05-09,Rainy,Vụ 1-2022,A1,D3N6,26,8,28.85,7.79,30.29,29.84,45.03,6.06,217.0,24.0,130.0,6000.0,2.35,0.0,0.0,0.61,2.55,240.5,222.75,755.0,Rectangle,Nuôi 1,1785.0,Vietuc,35.0,909.09,70.0,0.0,0.65,Vụ 1-2022-A1-D3N6,795.2237280788798
44,2022-05-08,Rainy,Vụ 1-2022,A1,D3N6,25,8,28.14,7.85,30.19,29.75,52.22,6.2,307.0,25.0,140.0,5500.0,3.72,0.0,0.0,0.73,1.52,245.5,226.25,745.0,Rectangle,Nuôi 1,1785.0,Vietuc,34.0,,79.0,0.0,0.64,Vụ 1-2022-A1-D3N6,872.4913445577919
45,2022-05-07,Rainy,Vụ 1-2022,A1,D3N6,24,8,29.72,7.91,30.15,29.7,56.1,6.31,437.0,21.0,150.0,5500.0,7.36,0.0,0.0,1.24,2.68,241.5,220.25,742.0,Rectangle,Nuôi 1,1785.0,Vietuc,33.0,,69.0,0.0,0.64,Vụ 1-2022-A1-D3N6,957.7119193215862
46,2022-05-06,Rainy,Vụ 1-2022,A1,D3N6,23,8,29.75,8.1,30.1,29.66,47.57,6.69,401.0,20.0,157.0,6000.0,4.52,0.1,0.01,1.08,2.28,338.75,279.75,690.0,Rectangle,Nuôi 1,1785.0,Vietuc,32.0,,59.0,10.0,0.67,Vụ 1-2022-A1-D3N6,1051.7040300404874
47,2022-05-05,Rainy,Vụ 1-2022,A1,D3N6,22,8,29.43,7.9,29.81,29.4,59.58,6.1,301.0,19.0,166.0,5000.0,4.84,0.0,0.0,1.16,2.08,375.5,275.75,550.0,Rectangle,Nuôi 1,1785.0,Vietuc,31.0,,65.0,0.0,0.65,Vụ 1-2022-A1-D3N6,1155.3705084922087
48,2022-05-04,Rainy,Vụ 1-2022,A1,D3N6,21,8,29.96,7.98,29.75,29.35,53.5,6.15,309.0,20.0,157.0,5000.0,4.48,0.0,0.0,5.7,1.0,308.25,295.5,520.0,Rectangle,Nuôi 1,1785.0,Vietuc,30.0,,57.0,0.0,0.64,Vụ 1-2022-A1-D3N6,1269.7071126219007
49,2022-05-03,Rainy,Vụ 1-2022,A1,D3N6,20,8,29.03,7.97,29.44,29.08,28.44,6.52,410.0,22.0,187.0,6000.0,1.4,0.0,0.0,2.85,2.72,311.0,284.25,499.0,Rectangle,Nuôi 1,1785.0,Vietuc,29.0,,66.0,15.0,0.68,Vụ 1-2022-A1-D3N6,1395.8120911950675
50,2022-05-02,Rainy,Vụ 1-2022,A1,D3N6,19,8,28.24,8.13,29.85,29.82,38.25,6.58,397.0,28.0,189.0,5500.0,2.12,0.0,0.0,2.9,2.92,239.75,222.25,748.5,Rectangle,Nuôi 1,1785.0,Vietuc,28.0,,68.0,25.0,0.66,Vụ 1-2022-A1-D3N6,1534.8967329157585
51,2022-05-01,Rainy,Vụ 1-2022,A1,D3N6,18,8,28.24,8.13,29.74,29.36,36.64,6.59,250.0,29.0,164.0,4500.0,3.92,0.0,0.0,2.05,2.34,345.5,275.75,550.0,Rectangle,Nuôi 1,1785.0,Vietuc,27.0,,70.0,20.0,0.65,Vụ 1-2022-A1-D3N6,1688.2970013385418
52,2022-04-30,Dry,Vụ 1-2022,A1,D3N6,17,8,27.75,8.1,30.05,29.64,23.23,6.61,177.0,36.0,156.0,5000.0,2.0,0.0,0.05,0.1,1.77,342.75,290.25,515.0,Rectangle,Nuôi 1,1785.0,Vietuc,26.0,,71.0,0.0,0.66,Vụ 1-2022-A1-D3N6,1857.4863673322225
53,2022-04-29,Dry,Vụ 1-2022,A1,D3N6,16,8,30.9,8.51,30.31,29.84,31.1,7.1,370.0,22.0,170.0,5000.0,5.2,0.0,0.0,2.75,2.66,308.25,259.5,520.0,Rectangle,Nuôi 1,1785.0,Vietuc,25.0,,71.0,0.0,0.64,Vụ 1-2022-A1-D3N6,2044.089962356259
54,2022-04-28,Dry,Vụ 1-2022,A1,D3N6,15,8,31.37,7.91,32.11,31.41,61.88,5.68,279.0,17.0,253.0,5500.0,10.6,0.0,0.0,3.5,1.63,376.25,286.0,1102.75,Rectangle,Vèo 1,232.0,Vietuc,24.0,,96.0,0.0,0.69,Vụ 1-2022-A1-D3N6,2249.900188497749
55,2022-04-27,Dry,Vụ 1-2022,A1,D3N6,14,8,31.4,7.93,31.62,30.98,75.66,5.78,270.0,19.0,239.0,5000.0,8.6,0.0,0.04,0.9,1.92,325.75,281.75,500.0,Rectangle,Vèo 1,232.0,Vietuc,23.0,,100.0,0.0,0.65,Vụ 1-2022-A1-D3N6,2476.893935209622
56,2022-04-26,Dry,Vụ 1-2022,A1,D3N6,13,8,31.23,7.96,31.19,30.6,47.96,5.98,233.0,19.0,233.0,6500.0,5.44,0.0,0.0,16.7,3.84,311.0,248.25,499.0,Rectangle,Vèo 1,232.0,Vietuc,22.0,,107.0,35.0,0.68,Vụ 1-2022-A1-D3N6,2727.2515681236987
57,2022-04-25,Dry,Vụ 1-2022,A1,D3N6,12,8,31.03,7.98,30.87,30.32,91.43,5.91,330.0,19.0,230.0,5000.0,5.24,0.0,0.0,27.17,3.68,442.75,331.0,890.0,Rectangle,Vèo 1,232.0,Vietuc,21.0,,63.0,0.0,0.67,Vụ 1-2022-A1-D3N6,3003.3778723337396
58,2022-04-24,Dry,Vụ 1-2022,A1,D3N6,11,8,30.27,8.07,30.15,29.7,75.49,6.17,365.0,22.0,225.0,5500.0,7.52,0.0,0.0,10.6,2.32,392.0,353.25,1020.0,Rectangle,Vèo 1,232.0,Vietuc,20.0,,61.0,0.0,0.69,Vụ 1-2022-A1-D3N6,3307.9251513170934
59,2022-04-23,Dry,Vụ 1-2022,A1,D3N6,10,8,29.46,8.07,29.62,29.24,85.36,6.22,356.0,15.0,157.0,5500.0,6.2,0.0,0.01,4.22,4.68,384.0,329.25,670.0,Rectangle,Vèo 1,232.0,Vietuc,19.0,,98.0,0.0,0.65,Vụ 1-2022-A1-D3N6,3643.8187033693234
60,2022-04-22,Dry,Vụ 1-2022,A1,D3N6,9,8,29.45,8.11,29.26,28.92,84.57,6.29,538.0,22.0,204.0,4500.0,3.48,0.0,0.0,2.82,4.56,394.0,349.75,705.0,Rectangle,Vèo 1,232.0,Vietuc,18.0,,110.0,0.0,0.65,Vụ 1-2022-A1-D3N6,4014.284920263125
61,2022-04-21,Dry,Vụ 1-2022,A1,D3N6,8,8,29.11,8.15,29.04,28.73,32.71,6.32,458.0,23.0,184.0,5000.0,1.4,0.0,0.0,2.82,1.27,334.75,278.75,997.5,Rectangle,Vèo 1,232.0,Vietuc,17.0,,100.0,0.0,0.67,Vụ 1-2022-A1-D3N6,4422.882278030397
62,2022-04-20,Dry,Vụ 1-2022,A1,D3N6,7,8,30.08,8.21,29.53,29.16,28.65,7.3,390.0,23.0,183.0,4500.0,2.08,0.0,0.0,1.2,3.85,326.75,260.0,520.0,Rectangle,Vèo 1,232.0,Vietuc,16.0,,100.0,0.0,0.65,Vụ 1-2022-A1-D3N6,4873.535517546309
63,2022-04-19,Dry,Vụ 1-2022,A1,D3N6,6,8,28.33,8.23,28.39,28.16,58.76,6.39,340.0,24.0,203.0,5500.0,1.84,0.0,0.0,0.92,2.0,320.25,269.0,969.5,Rectangle,Vèo 1,232.0,Vietuc,15.0,,100.0,0.0,0.69,Vụ 1-2022-A1-D3N6,5370.5733432335255
64,2022-04-18,Dry,Vụ 1-2022,A1,D3N6,5,8,28.79,8.28,28.23,28.02,35.12,6.29,377.0,24.0,229.0,5500.0,3.16,0.0,0.0,0.99,1.8,486.25,534.75,980.0,Rectangle,Vèo 1,232.0,Vietuc,14.0,,100.0,0.0,0.73,Vụ 1-2022-A1-D3N6,5918.770001997702
65,2022-04-17,Dry,Vụ 1-2022,A1,D3N6,4,8,29.02,8.3,28.0,27.81,34.36,6.33,198.0,24.0,181.0,5000.0,0.64,0.0,0.0,2.4,0.85,340.25,296.75,1049.25,Rectangle,Vèo 1,232.0,Vietuc,13.0,,100.0,0.0,0.69,Vụ 1-2022-A1-D3N6,6523.391141776555
66,2022-04-16,Dry,Vụ 1-2022,A1,D3N6,3,8,30.64,8.35,27.17,27.83,50.78,6.19,137.0,24.0,190.0,5500.0,0.64,0.0,0.0,2.45,4.0,319.0,266.0,959.75,Rectangle,Vèo 1,232.0,Vietuc,12.0,,100.0,0.0,0.69,Vụ 1-2022-A1-D3N6,7190.24439019217
67,2022-04-15,Dry,Vụ 1-2022,A1,D3N6,2,8,28.76,8.36,28.04,27.85,20.26,6.48,108.0,23.0,167.0,4000.0,0.54,0.0,0.0,0.22,4.85,323.5,287.0,1018.0,Rectangle,Vèo 1,232.0,Vietuc,11.0,,100.0,0.0,0.66,Vụ 1-2022-A1-D3N6,7925.73513913474
68,2022-04-14,Dry,Vụ 1-2022,A1,D3N6,1,8,30.28,8.24,27.44,27.3,45.14,6.08,193.0,23.0,179.0,6000.0,0.94,0.0,0.0,1.37,3.95,506.2,509.0,1050.0,Rectangle,Vèo 1,232.0,Vietuc,10.0,,100.0,0.0,0.73,Vụ 1-2022-A1-D3N6,8736.928071110924
69,2022-06-17,Rainy,Vụ 1-2022,A1,D5N9,65,8,29.15,7.51,21.97,22.35,39.75,4.62,258.0,24.0,171.0,4500.0,16.8,0.7,0.51,8.2,5.28,342.5,293.5,1033.5,Rectangle,Nuôi 1,1785.0,Vietuc,76.0,70.0,61.0,0.0,0.67,Vụ 1-2022-A1-D5N9,58.045904736894215
71,2022-06-15,Rainy,Vụ 1-2022,A1,D5N9,63,8,30.0,7.51,22.1,22.47,67.61,5.08,353.0,22.0,177.0,5000.0,18.7,4.2,2.02,4.1,3.0,495.0,510.5,1004.0,Rectangle,Nuôi 1,1785.0,Vietuc,74.0,77.04,61.0,10.0,0.69,Vụ 1-2022-A1-D5N9,60.972732213500706
72,2022-06-14,Rainy,Vụ 1-2022,A1,D5N9,62,8,29.81,7.59,22.01,22.39,55.37,5.17,714.0,23.0,161.0,4000.0,15.2,0.9,1.47,3.7,5.7,404.5,392.25,950.0,Rectangle,Nuôi 1,1785.0,Vietuc,73.0,77.16,75.0,0.0,0.65,Vụ 1-2022-A1-D5N9,62.665770274496836
73,2022-06-13,Rainy,Vụ 1-2022,A1,D5N9,61,8,29.0,7.51,21.94,22.33,54.24,4.49,430.0,23.0,191.0,4500.0,16.8,5.4,0.16,9.8,5.8,469.0,340.0,880.0,Rectangle,Nuôi 1,1785.0,Vietuc,72.0,,70.0,25.0,0.67,Vụ 1-2022-A1-D5N9,64.53306841607272
74,2022-06-12,Rainy,Vụ 1-2022,A1,D5N9,60,8,29.27,7.58,22.2,22.57,59.95,4.8,493.0,21.0,207.0,4000.0,18.1,3.3,0.78,1.0,3.44,467.25,363.0,670.0,Rectangle,Nuôi 1,1785.0,Vietuc,71.0,,70.0,10.0,0.67,Vụ 1-2022-A1-D5N9,66.59256278295142
75,2022-06-11,Rainy,Vụ 1-2022,A1,D5N9,59,8,29.15,7.57,22.05,22.43,36.88,4.96,314.0,24.0,143.0,3500.0,17.9,0.3,0.65,2.56,2.04,431.75,393.75,709.0,Rectangle,Nuôi 1,1785.0,Vietuc,70.0,,71.0,10.0,0.65,Vụ 1-2022-A1-D5N9,68.86403564139141
76,2022-06-10,Rainy,Vụ 1-2022,A1,D5N9,58,8,29.15,7.51,21.97,22.35,39.75,4.62,258.0,24.0,171.0,4500.0,16.8,0.7,0.51,8.2,5.28,139.0,132.0,748.25,Rectangle,Nuôi 1,1785.0,Vietuc,69.0,,70.0,10.0,0.63,Vụ 1-2022-A1-D5N9,71.369305395758
